Name,Description
(Select Dept.),
Accessibility Services,We provide an accessible MAGFest for all attendees!
Arcade,Help run one of the world’s largest arcades for 4 days straight.
Arcade_Crew,ONLY for people who are members of arcade crews for collectors. NO ONE should be added to this department without permission from an arcade department head
Arena,"Join us in Arena for panels, events, and activities that get you up and moving around!"
Attendee Services,"Staff the info desk, answer a million questions, and babysit attendee phones. Customer service skills are a must!"
Autographs,"Help run lines for autographs, check in attendees, and keep the peace. Ability to move/stand around for at least an hour necessary."
AV Ops,"Help setup, tear down, and support AV gear in panels/music/etc."
Belvedere Lobby Bar,"Bringing music to the atrium! We setup the stage, have stage hands to help getting acts ready to play, and mix audio. Don't know much? We are happy to teach! If you want to be close to the music, join us!"
BroadcastOps,"Help us put together the custom TV channel broadcasted to all Gaylord hotel rooms and the digital signage throughout the venue, as well as Twitch. BroadcastOps (BOPS) runs magTV and digital signage; names are commonly used interchangeably"
C-SEC,Concert Security
CCG,Help run the competitive card games in our CCG department!
Challenges,Help design challenges and manage the infrastructure that powers MAGFest Challenges. (Challenges are PCs running special video game emulators with weird conditions to win!)
Charity,Help run our charity events. New and Fabulous every year!
Chipspace,"Help run our Chipspace stage, merch sales, and A/V!"
Consoles,Help run the world’s largest console room! Almost every console video game released for every major system! (And some minor systems!)
Cosplay,Cosplay department to do manage cosplay events
Crowd Management,"Line Wranglers and Badge Checkers, reports to FestSec."
D&D,Help run the D&D Adventurers' League in our Tabletop department!
DevOps,Developers of Uber and other software
FestSec,Festival Security
Guests,Liasons and On-Site Hospitality Coordination for Featured Guests of MAGFest
Hotel,"Communicate issues with the venue and produce solutions! (Convention Center requests, cleanup, etc.)"
Inclusion & Equity Lounge (MAGPIE Nest),description tbd
Indie Arcade,"alt.ctrl, custom arcade machines for indie games, and other interactive installations"
Indie Games,MAGFest Indie Video Game Showcase
Indie Retro,"Your source for modern throwbacks. New games, original hardware, and good times!"
Indie Tabletop,MAGFest Indie Tabletop Showcase
Jam Clinic,Jam out with nerds who want to get better at their music skills!
Jam Space,Help facilitate nerds jamming out with nerds!
Jampods,Hallway music spaces
LAN,Help run our 800(ish) seat LAN! Desk staff and infrastructure!
LARP,Help run Live Action Role-Playing events!
Logistics,Logistics
MAGES,MAGES
magFAST,MAGFest's speedrun flavored variety charity marathon livestream!
MAGFest Versus,MAGFest Versus is the popular annual and chaotically entertaining live game-show event.
MAGScouts,Coordinating which content is appropriate for kids/families!
Makerspace,Make all the things!
Marketplace,Marketplace management and planning
MEDIATRON!,MEDIATRON! volunteers capture all aspects of MAGFest for the web.
MEDIATRON! Photo,This department is specifically for photographers in Mediatron.
Merch,Fangamer and volunteers working with them
Museum,Help run our technology and video game museum!
Music Liaisons,Band booking and liason-ing and schedulinging
Office/Admin,This is a place where we can track some of our admin/event work!
Orchestra,"Department hosting panels, workshops, and performances encouraging orchestral music."
Panels,Giving attendees a stage to do a long-form presentation on something they're passionate about!
Pathfinder,Providing experiences with the Paizo Organized Play family of tabletop roleplaying games such as Pathfinder Society and Starfinder Society.
POSE,"POSE nightclub crew, kicking it on the 19th floor."
Public Safety,Bandaids and Boo-boo Brigade! Security contractors + local police + supplemental paramedics
Registration,Registration
Reinforcements,Reinforcements
Rescuers,Trusted MAG folks who can jump in to help problem-solve across the event.
Rock Island,"Help run a huge merch stand for bands so that they can have an awesome, hassle-free fest!"
Signage,Creates and maintains signage around the event
Simulations,Contractors: Starship Horizons and Artemis
Soapbox,soapbox!
Social Media,"Community Team, responsible for social media shenanigans"
Sonus,Sonus Paid Contractors
Staff Suite,FEED ALL THE STAFF!
Staff Tea Room,"Help run a place for people to go chill out, have a couple of snacks and recover!"
Stage Crew,schlepping and building
STOPS,Staffing Ops
SupplyOps,"SupplyOps is a brand-new department focused on managing the inventory, ordering, and distribution of shared event supplies."
Swadges,Swadge Team!
Tabletop,Help run our large set of tabletop and trading card games and tournaments!
Tabletop Panels,panels - but about TT games!
Tabletop Tournaments,TT tourneys
Tech Ops,"Event Network, Computing Infrastructure and Panels AV. Not sure if you know enough? We are happy to train people who like to learn!"
Treasury,What it says on the tin (on-site only). Email treasury@magfest.org if you need more information.
VRChat,VRChat in the VR MAGLord!
VRZone,Free to Play Virtual Reality Gameroom!
Xpansion Pack Stage,The Xpansion Pack (XP) stage is a smaller auxiliary stage dedicated to foster new and upcoming talent and hosting musical education related clinics in the evening
Z-ModOps,here to moderate and monitor the things!
Zombie Tag,	Help to run our huge game of HvZ Tag!
Z-Feywild,
Z-TestDept,
